Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2006-12-01,1418.3,0.0126,9765.0145,13021.9122,25 ans,24 mois
2007-01-01,1438.24,0.0141,9902.3012,13204.9878,25 ans,24 mois
2007-02-01,1406.8199,-0.0218,9685.9738,12916.5093,25 ans,24 mois
2007-03-01,1420.86,0.01,9782.6397,13045.4158,25 ans,24 mois
2007-04-01,1482.37,0.0433,10206.1369,13610.1609,25 ans,24 mois
2007-05-01,1530.62,0.0325,10538.3388,14053.1611,25 ans,24 mois
2007-06-01,1503.35,-0.0178,10350.5843,13802.7855,25 ans,24 mois
2007-07-01,1455.27,-0.032,10019.5532,13361.3465,25 ans,24 mois
2007-08-01,1473.99,0.0129,10148.4404,13533.2211,25 ans,24 mois
2007-09-01,1526.75,0.0358,10511.6938,14017.6293,25 ans,24 mois
2007-10-01,1549.38,0.0148,10667.5017,14225.4034,25 ans,24 mois
2007-11-01,1481.14,-0.044,10197.6685,13598.868,25 ans,24 mois
2007-12-01,1468.36,-0.0086,10109.6778,13481.5301,25 ans,24 mois
2008-01-01,1378.55,-0.0612,9491.3352,12656.9534,25 ans,24 mois
2008-02-01,1330.63,-0.0348,9161.4051,12216.9826,25 ans,24 mois
2008-03-01,1322.7,-0.006,9106.8065,12144.174,25 ans,24 mois
2008-04-01,1385.59,0.0475,9539.8051,12721.5894,25 ans,24 mois
2008-05-01,1400.38,0.0107,9641.6347,12857.3819,25 ans,24 mois
2008-06-01,1280.0,-0.086,8812.8168,11752.1307,25 ans,24 mois
2008-07-01,1267.38,-0.0099,8725.928,11636.2621,25 ans,24 mois
2008-08-01,1282.83,0.0122,8832.3011,11778.1135,25 ans,24 mois
2008-09-01,1166.36,-0.0908,8030.4038,10708.7617,25 ans,24 mois
2008-10-01,968.75,-0.1694,6669.8565,8894.4349,25 ans,24 mois
2008-11-01,896.24,-0.0748,6170.6241,8228.6949,25 ans,24 mois
2008-12-01,903.25,0.0078,6218.8881,8293.0563,25 ans,24 mois
2009-01-01,825.88,-0.0857,5686.1947,7582.6951,25 ans,24 mois
2009-02-01,735.09,-0.1099,5061.1045,6749.1204,25 ans,24 mois
2009-03-01,797.87,0.0854,5493.3454,7325.5254,25 ans,24 mois
2009-04-01,872.81,0.0939,6009.3083,8013.5759,25 ans,24 mois
2009-05-01,919.14,0.0531,6328.2911,8438.9481,25 ans,24 mois
2009-06-01,919.32,0.0002,6329.5303,8440.6007,25 ans,24 mois
2009-07-01,987.48,0.0741,6798.8126,9066.4014,25 ans,24 mois
2009-08-01,1020.62,0.0336,7026.9821,9370.6716,25 ans,24 mois
2009-09-01,1057.08,0.0357,7278.0094,9705.4233,25 ans,24 mois
2009-10-01,1036.1899,-0.0198,7134.1814,9513.6247,25 ans,24 mois
2009-11-01,1095.63,0.0574,7543.427,10059.3649,25 ans,24 mois
2009-12-01,1115.1,0.0178,7677.478,10238.1255,25 ans,24 mois
2010-01-01,1073.87,-0.037,7393.609,9859.5786,25 ans,24 mois
2010-02-01,1104.49,0.0285,7604.4281,10140.7115,25 ans,24 mois
2010-03-01,1169.4301,0.0588,8051.5413,10736.9491,25 ans,24 mois
2010-04-01,1186.6899,0.0148,8170.3758,10895.4182,25 ans,24 mois
2010-05-01,1089.41,-0.082,7500.6024,10002.2571,25 ans,24 mois
2010-06-01,1030.71,-0.0539,7096.4516,9463.3111,25 ans,24 mois
2010-07-01,1101.6,0.0688,7584.5303,10114.1773,25 ans,24 mois
2010-08-01,1049.33,-0.0474,7224.6505,9634.2678,25 ans,24 mois
2010-09-01,1141.2,0.0876,7857.1767,10477.7586,25 ans,24 mois
2010-10-01,1183.26,0.0369,8146.7607,10863.9268,25 ans,24 mois
